Номер;Дата;Тема;Текст обращения;Клиент;Email;Канал
W-2041;2026-08-19 22:14;Где мой заказ;Здравствуйте! Заказ №48812 оформила 15 августа, статус до сих пор «в сборке». Когда ждать доставку? Алматы.;Айгуль Т.;aigul@example.kz;чат
W-2042;2026-08-19 22:31;Возврат денег;Вернула утюг 5 дней назад по браку, деньги до сих пор не пришли. Сколько ещё ждать? Хочу вернуть именно деньгами, не обменом.;Марат С.;marat@example.kz;почта
W-2043;2026-08-19 23:02;;Доставка в Караганду сколько идёт и сколько стоит? Заказ примерно на 18 тысяч;Диас;dias@example.kz;чат
W-2044;2026-08-19 23:40;Претензия;Это уже второй раз когда мне привозят не тот товар. Требую компенсацию, иначе буду писать жалобу в департамент по защите прав потребителей. Заказ 48755.;Ольга В.;olga@example.kz;почта
W-2045;2026-08-20 00:12;;Сәлеметсіз бе! Тапсырысты қалай болдырмауға болады? Нөмірі 48901;Ерлан Қ.;erlan@example.kz;чат
W-2046;2026-08-20 00:55;Рассрочка;Можно оформить рассрочку на диван за 210 000? И на сколько месяцев максимум?;Жанна;zhanna@example.kz;чат
W-2047;2026-08-20 01:20;Счёт на оплату;Мы ТОО, нужен счёт и накладная на заказ 48870. Куда писать?;Бухгалтерия ТОО Астана-Строй;buh@astanastroy.example.kz;почта
W-2048;2026-08-20 02:03;;Курьер не дозвонился, я была в метро. Что теперь с заказом? Повторно привезут?;Салтанат;saltanat@example.kz;чат
W-2049;2026-08-20 03:11;Брак;Пришёл стол с царапиной на столешнице. Фото прикладываю. Хочу замену.;Нурлан Б.;nurlan@example.kz;почта
W-2050;2026-08-20 04:22;;Do you deliver to Aktau? And can I pay by card online?;Anna P.;anna@example.com;чат
W-2051;2026-08-20 05:40;Удалите мои данные;Прошу удалить мою учётную запись и все персональные данные в соответствии с законом о персональных данных.;Тимур А.;timur@example.kz;почта
W-2052;2026-08-20 06:15;;Хочу поменять адрес доставки на заказ 48925, ещё не собран вроде;Асель;asel@example.kz;чат
W-2053;2026-08-20 06:48;Скидка;Постоянный клиент, заказываю у вас третий год. Дайте скидку 15% на кухонный гарнитур, тогда куплю сегодня.;Виктор Л.;viktor@example.kz;почта
W-2054;2026-08-20 07:02;;Можно вернуть постельное бельё? Не подошёл размер, упаковку не вскрывала;Гульмира;gulmira@example.kz;чат
W-2055;2026-08-20 07:30;Не пришёл чек;Оплатила картой, деньги списались, чек на почту не пришёл. Заказ 48944;Динара;dinara@example.kz;чат
W-2056;2026-08-20 07:55;;Во сколько работает поддержка? Писал вчера в 23:00, никто не ответил;Алексей;alexey@example.kz;чат
W-2057;2026-08-20 08:10;Двойное списание;С карты списали дважды по 34 900. Заказ один. Верните деньги немедленно!;Ержан М.;erzhan@example.kz;почта
W-2058;2026-08-20 08:33;;Есть ли у вас самовывоз? Живу рядом со складом;Камила;kamila@example.kz;чат
W-2059;2026-08-20 08:47;Гарантия;Купил холодильник полгода назад, перестал морозить. Гарантия действует? Куда обращаться?;Данияр;daniyar@example.kz;почта
W-2060;2026-08-20 09:05;;Подъём на 7 этаж без лифта — сколько будет стоить для шкафа?;Айдана;aidana@example.kz;чат
W-2061;2026-08-20 09:18;Товара нет;Хотела заказать кресло, а его нет в наличии. Когда появится?;Мадина;madina@example.kz;чат
W-2062;2026-08-20 09:31;Расторжение;Ваш сервис ужасен, третья проблема подряд. Расторгаю все отношения, уйду к конкурентам. Заказ 48812 отменяйте.;Айгуль Т.;aigul@example.kz;почта
W-2063;2026-08-20 09:44;;Оплатил Kaspi QR, заказ не создался. Деньги ушли. Что делать?;Санжар;sanzhar@example.kz;чат
W-2064;2026-08-20 09:58;Опт;Нужно 40 офисных стульев для нового офиса. Есть оптовые цены? С кем говорить?;Ирина, ТОО Кенес;irina@kenes.example.kz;почта
W-2065;2026-08-20 10:12;;Можно ли оплатить наличными курьеру в Таразе?;Бекзат;bekzat@example.kz;чат
